text,positive,lemm_text
@StalinGulag унылый?...наверное...вдруг его перед этим чпокнули?)))),1,унылый наверное вдруг он перед это чпокнуль 
RT @lumenso: @GruzdevVladimir @Sergey_Degtyrev 1) При поддержке администрации МО Белевский район сборная Белевского района по http://t.co/r…,1,при поддержка администрация мо белевский район сборная белевский район по 
"Как же хооорошо валяться, но мой бедный, обколотый попец хочет на прогулку) http://t.co/XugobJeb9c",1,как же хооорошо валяться но мой бедный обколоть попец хотеть на прогулка 
"Хоть у кого то заебись всё) Настюх, рада за тебя пиздец) прям искренне рада)) есть все же справедливость на свете)",1,хоть у кто то заестись весь настюха рада за ты пиздец прям искренне рада есть весь же справедливость на свет 
"да почему мне похуй то)
Новерное потому что еще не ночь темная) )",1,да почему я похуй то новерный потому что ещё не ночь тёмный 
"блин,хочется писать и писать))всякую хуйню пишу,но все равно хочется)",1,блин хотеться писать и писать всякий хуйня писать но весь равно хотеться 
@JuliaLacoste_ @Kate_Craik а мне хотя бы расскажите что по чем),1,а я хотя бы рассказать что по чем 
RT @Lubalubochka2: @edvard146 для тебя;) http://t.co/EPzvFGfLfA,1,для ты 
"@1m_one я по первому не смотрю,поэтому качаю в инете)найди группу в вк Оттепель,там думаю все серии есть)",1,я по первое не смотреть поэтому качать в инуть найти группа в вк оттепель там думать весь серия есть 
Предвкушение  потрясающего уикенда  - Праздник света! Гулять ночи напролет и любоваться огнями :*,1,предвкушение потрясать уикенд праздник свет гулять ночь напролёт и любоваться огонь 
"я рааааааад,ведь сегодня впереди вся ночь,сериалы,фильмы,книга и кофе:) идеальная ночка:)",1,я рааааааад ведь сегодня впереди весь ночь сериал фильм книга и кофе идеальный ночка 
Списком надо! Всем гамузом. :D http://t.co/IL0Y1evQY7,1,список надо весь гамуз 
RT @StarScrim3: #RT Электрогенератор http://t.co/qjlwirfD3A изсостоек и не победим!)),1,электрогенератор изсостойка и не победить 
@mari_filimonova у меня нет фоток ))))) позже тогда кину )))),1,у я нет фотка поздний тогда кинуть 
Второй день подряд мне снятся сны с Ромой. Я сошла с ума) #RomaAcorn,1,два день подряд я сниться сон с рома я сойти с ум 
"RT @amytareva: -слушай, Коть, можно я этим боком встану, так лучше получается? :)
-а у меня наоборот этот! 
@PankratovaKotya лучший человек…",1,слушай коть можно я это боком встать так хороший получаться а у я наоборот этот хороший человек 
RT @qotozobygl: почти в каждых Пиратах-РТ неимоверно радует своими политическими позициями в отсутствии понимания и фактов. :-),1,почти в каждый пират рт неимоверно радовать свой политический позиция в отсутствие понимание и факт 
"-Оля, ты очень добрая на самом деле. 
-А ты сучка злая. Бу на тебя
-Да я та еще тварь
-Заметь, ты сама это сказала
#диалогивофисе

Люблю их)",1,оля ты очень добрый на самый дело а ты сучка злой бу на ты да я тот ещё тварь заметить ты сам это сказать диалогивофис любить они 
"Не иду завтра в школу,первый раз мама так настойчиво не отпускала меня,спасиибки)",1,не идти завтра в школа один раз мама так настойчиво не отпускать я спасиибка 
Как же мне нравятся мужчины в строгих костюмах)) млею!,1,как же я нравиться мужчина в строгий костюм млеть 
"@LilSwallow так это пушистая скотина тоже дрыхнет круглые сутки. просыпается только, чтоб поорать возле миски)",1,так это пушистый скотина тоже дрыхнуть круглый сутки просыпаться только чтоб поорать возле миска 
"@kgshel ахаха
да нормээ)) с моим врачем мне ничего не страшно))",1,ахах да нормээ с мой вракать я ничто не страшно 
"Встречайте, мои супер одногруппницы, будущие историки искусства и моды:) #большиеоригиналы #попятницамносимчерное http://t.co/zGe3pX3F8P",1,встречать мой супер одногруппница будущий историк искусство и мода большиеоригинал попятницамносимчерный 
"все,я вас покидаю,результаты гляну вечером)#биатлон",1,весь я вы покидать результат глянуть вечером биатлон 
"RT @Dasha_crazy_69: @DashkaTeddy дыы))) но кто сказал, что я ВСЕ поняла ааххах?) http://t.co/4dCaFCMXDl",1,дыы но кто сказать что я весь понять аахха 
Почти приехали в родное селенье!) @ москва-рига http://t.co/1MN85mNxwb,1,почти приехать в родной селение москва рига 
На*уй ваши Канары и Мальдивы ! Тут новая тема проскочила ! )) http://t.co/J8PhBhhIgD,1,на уй ваш канары и мальдивы тут новый тема проскочить 
"RT @frankieeway: а стояк теперь снова стояк :-)
вселенная вернула все на свои места",1,а стояк теперь снова стояк вселенная вернуть весь на свой место 
-ПриФетиГг СолНыСко=*КаГ ТфаИ ДиЛа??МнУ сИчаС фФ БоЛьНисЬкУ ИдеТь=) -к логопеду? ,1,прифетигга солныско каг тфай дил мять сичас фф больниська идеть к логопед 
"@3Gun_D да нашла фоточку в иг и нагло спиздила) Ничего, с фотографиями меня уже статусы в вконтакте бывают.",1,да найти фоточка в иго и нагло спиздил ничто с фотография я уже статус в вконтакте бывать 
"А у нас в Нижнем слякотная погода - брр! Но у нас ОФИГЕННЫЙ ПРИВОЗ! ))) Заходим, заходим! http://t.co/9JmNtTAcfE",1,а у мы в нижний слякотный погода брр но у мы офигенный привоз заходить заходить 
"Короче ,видимо ни в какой архитектурный я не иду :)
Там ,капец ,конечно )",1,короче видимо ни в какой архитектурный я не идти там капец конечно 
"@linajj_5 ну в 18 сделаешь тогда)))
я дарья) а ты?)",1,ну в сделать тогда я дарья а ты 
"@Prozene плак-плак,надеюсь на драфте тогда их вытяну :)",1,плак плак надеяться на драфт тогда они вытянуть 
@Chenzana а моя кроме поорать еще просится на балкон хвост поморозить) минуту посидит и назад просится.,1,а мой кроме поорать ещё проситься на балкон хвост поморозить минута посидеть и назад проситься 
Каждому так болеть) когда к тебе друзья в гости ходят,1,каждый так болеть когда к ты друг в гость ходить 
"-мам, мне так хреново!
-выпей таблетку и на работу! на следующей недели пойдем в сауну!
мама умеет поддержать и добавить стимула)",1,мама я так хреновый выпить таблетка и на работа на следующий неделя пойти в сауна мама уметь поддержать и добавить стимул 
"3 тысячи,это не так дорого для пальто лол :D  т.е. пальто криса стоит меньше 200 тыс. рублей",1,тысяча это не так дорого для пальто лола том е пальто крис стоить маленький тысяча рубль 
"RT @jalikuhepan: это так мило, когда парни ставят на аву свои детские фотографии...) http://t.co/qvQjUz842z",1,это так мило когда парень ставить на ава свой детский фотография 
"@iluhaivakin опа, дома никого?
помнишь, что ты мне должен?:D",1,опа дом никто помнить что ты я должный 
"@Juliacka наверное) ну все-равно приятно:D:D:D ахах, я под столой вчера лежала",1,наверное ну весь равно приятно ахи я под стола вчера лежалый 
"@proBokator ... и работал. А не как этот:то потухнет, то погаснет ;)",1,и работать а не как этот то потухнуть то погаснуть 
"@Ksushakos38 лучше бы и то,и другое.)
кстати,после сегодняшнего я кроху ненавижу еще больше.",1,хороший бы и то и другой кстати после сегодняшний я кроха ненавидеть ещё большой 
"@fidelevna ох, прям за год соскучилась. чего забросила прекрасных мужчин, не понимаю?)",1,ох прям за год соскучиться что забросить прекрасный мужчина не понимать 
"RT @tugejivybix: вышел прокатится, через 15 минут зашёл назад весь мокрый :) дождь полил.",1,выйти прокатиться через минута зайти назад весь мокрый дождь полить 
@SofiBelyak а что за татуировка у тебя? фото в студию)),1,а что за татуировка у ты фото в студия 
"@DianaKruchkova ого, надо будет так попробовать с следующий раз :D",1,ого надо быть так попробовать с следующий раз 
"@Alen_gate ахахаха, я тоже сегодня полдня играла в Обломова :D
Примерно до полчетвертого",1,ахахах я тоже сегодня полдень играть в обломов примерно до полчетвертого 
"RT @havabeqoduxi: Ого, на кинопоиске сделали ""саундтреки"" :D а я и не знала. Очень удобнено.",1,ого на кинопоиск сделать саундтрек а я и не знать очень удобнить 
весь мой тви теперь будет наполнен долгожданным снегом)из года в год он меня бросает) http://t.co/PmExOxro9h,1,весь мой тви теперь быть наполнить долгожданный снег из год в год он я бросать 
А еще я просрала Кравченко все метры и теперь она хуй в инстаграмм зайдет:)),1,а ещё я просрало кравченко весь метр и теперь она хуй в инстаграмм зайти 
"лежу в кровати,закуталась))еще бы вкусняшек кто -нибудь принес",1,лежать в кровать закутаться ещё бы вкусняшка кто нибыть принести 
@MrAkiko давай) Воронеж тебя ждет с распростертыми объятиями,1,давать воронеж ты ждать с распростереть объятие 
"Сижу смотрю с братиком  ""Гадкий Я""))) ВСЕМ ДОБРА))))",1,сидеть смотреть с братик гадкий я весь добро 
Едем по мосту со скоростью 20 км/ч под донт вори)))))) доставило)))),1,ехать по мост с скорость километр число под донт воря доставить 
"@DToropova АХАХАХХА ПРОСТИ, НО Я НЕМНОГО ЗАНЯТ :DD
В СЛЕДУЮЩИЙ РАЗ ОБЯЗАТЕЛЬНО ПОКАЖЕШЬ, ВСЕЕЕЕХ :DDDDD",1,ахахахха простить но я немного занятый в следующий раз обязательно показать всеееех 
"Перемен ждала. И дождалась)
Теперь буду ждать лето ",1,перемена ждать и дождаться теперь быть ждать лето 
"день выдался удачным, я ожидала худшего, но у меня даже настроение отличное и это несмотря на то, что я ночью меньше 5 часов проспала:)",1,день выдаться удачный я ожидать плохой но у я даже настроение отличный и это несмотря на то что я ночью маленький часы проспать 
"@NicoleKlof дааа)) так что приезжай загорать и сразу на чай, этажом выше",1,дааа так что приезжать загорать и сразу на чаять этаж выше 
"Q: Очень нравятся Ваши песни, Андрей! Успехов Вам)))  A: http://t.co/BDM6BXSoaN",1,очень нравиться ваш песнь андрей успех вы 
"-Айгуль Маратовна, сколько за ппт?
-9.
-из 20?
-из 10.
-спасибо за щедрость!
-ну тебе же надо заканчивать уже.

вот это человечность:)",1,айгуль марат сколько за ппт из из спасибо за щедрость ну ты же надо заканчивать уже вот это человечность 
Радостных выходных!)))http://t.co/MDBsfzF5ml с помощью @youtube,1,радостный выходной с помощь 
Классная позвала в клуб) мммммммм)) очень интересно) ахахаххаха,1,классный позвать в клуб мммммммм очень интересно ахахаххах 
"ой, Angel Beats начинается 11 апреля! весна становится всё интереснее :)",1,ой начинаться апрель весна становиться весь интересный 
@De_nativo Опять что ли подозреваешь? ;))))) Ну как для чего? Что бы знать насколько в разных городах живём! ;),1,опять что ли подозревать ну как для что что бы знать насколько в разный город жить 
@mego_cheshire @Korotchikoff  что уже всё обломались с твитером?) скучно тут стало или что?,1,что уже весь обломаться с твитер скучно тут стать или что 
@Amiko_chan  Оно)ты не смотрела?)ты любишь клоунов?),1,оно ты не смотреть ты любить клоун 
"Ostap CAE Group . Наш девиз - ""И тут Остапа понесло"". Никогда не заканчиваем спикинг вовремя)",1,наш девиз и тут остап понести никогда не заканчивать спикинг вовремя 
Дежурить с хомой  и саней ахуенно )ибо нихуя не делаешь+весело )люблю их ^^,1,дежурить с хома и сани ахуенно ибо нихуй не делать весело любить они 
"Говорят, что сейчас на такие портфели мода в городе. Правда? =) http://t.co/MALGjKoKvv",1,говорят что сейчас на такой портфель мода в город правда 
"8-ые пришли)) я опять запредельно радуюсь,  часы черного цвета это двойная радость^^ #мояпрелесть… http://t.co/oBXeKaU1G1",1,ые прислать я опять запредельно радоваться часы чёрный цвет это двойной радость мояпрелесть 
@chivonapets это он любит) прикольно было бы наверное по МКАДу на лыжах 80 км/ч шпарить),1,это он любить прикольный быть бы наверное по мкаду на лыжа километр число шпарить 
@arinalen  ахах тут еще у одной девочки фамилия Тимофеева была:D:3,1,ахи тут ещё у один девочка фамилия тимофеев быть 
пальцы совсем отвыкли от гитары. а та даже практически не расстроена),1,палец совсем отвыкнуть от гитара а тот даже практически не расстроить 
"В 5 классе будет учиться, на радость англичанке нашей))",1,в класс быть учиться на радость англичанка наш 
"- ты все время работаешь? - нееет) - а в какие дни ты свободна? - во все, кроме пн,вт,ср,чт,пт,сб,вс ..эмм..",1,ты весь время работать нееет а в какой день ты свободный в весь кроме пн вт сравнить чт пт сб вс эмма 
"@RomaShkaMaRINka @maksimofficial ясно))
у меня сердце заходилось, когда объявляли номинантов. как будто я сама лично участвую!)",1,ясно у я сердце заходиться когда объявлять номинант как будто я сам лично участвовать 
"@jolechka3 получается,осторожно котлетку перекладываю в др.посуду)",1,получаться осторожно котлетка перекладывать в др посуда 
"@redisskakat @girt_sk Единственное,что меня расстраивает на Бали. Невозможность сходить в кинотеатр с друзьями на интересный фильм :)",1,единственный что я расстраивать на бали невозможность сходить в кинотеатр с друг на интересный фильм 
"Базарнов сегодня спрашивал - чем лучше сушиться :D Парень весит всего 60 кг где-то, ахаха. Но он сказал, что ему уже пора, лол",1,базарнов сегодня спрашивать чем хороший сушиться парень весить всего килограмм где то ахах но он сказать что он уже пора лола 
@Zhopushonok маловато получается)))) лучше Незлобин тогда),1,маловато получаться хороший незлобин тогда 
"@ekaetrina я люблю тебя со всеми твоими истериками, солнышко :D",1,я любить ты с весь твой истерик солнышко 
"Урааа! @dolbysystem, вот!  я же говорила!))) #DavaiDinamo",1,урааа вот я же говорить 
Все свое ношу с собой ) Хорошая штука все же #Dropbox. Кто еще не в теме - регистрируемся и получаем бонус ) https://t.co/WZ9LDhqnQO,1,весь свой носить с себя хороший штука весь же кто ещё не в тема регистрироваться и получать бонус 
"лента до сих пор не может угомониться с этим АЙ ЭМ
голос похож на Билла, соглашусь, но бл, как так они написали сразу раста-песню? :D",1,лента до сей пора не мочь угомониться с это ай эм голос похожий на билл согласиться но бл как так они написать сразу раста песня 
"Дизайнер с большой буквы!) “@WoW_ReD: За 7 дней белые носки становятся черными, проходя ""50 оттенков серого""”",1,дизайнер с большой буква за день белые носка становиться чёрный проходить оттенок серый 
"@ViktorVTsoy @dks_kamila Кама, совести у тебя нет, как ты не почувствовала ТАКОЕ, ))))",1,кама совесть у ты нет как ты не почувствовать такой 
Цена на билет на КВН на сегодняшний финал от 10 000 на балконе ;) #камызяки http://t.co/plvnmgSlah,1,цена на билет на квн на сегодняшний финал от на балкон камызяк 
"@__devyatyi__ да вот и получается, что хоть и москвичи,а всё как по понятиям привыкли,так только и могут.Позорище.Ещё и начальство вызывают)",1,да вот и получаться что хоть и москвич а весь как по понятие привыкнуть так только и мочь позорище ещё и начальство вызывать 
"такой снежок идёт
мммм
*___*
на улице просто волшебно:)",1,такой снежок идти мммм на улица просто волшебно 
Мой комп не выдерживает такого напора фоток от @real_dzemki ))) #СоколовскийЯХочуТебя,1,мой комп не выдерживать такой напор фотка от соколовскийяхочутести 
"Такая вот моя будущая работа, дигистировать балык) #товароведы http://t.co/dwn5wE7xUA",1,такой вот мой будущий работа дигистировать балык товаровед 
"Интересно, а почему   ставит readonly в своих топиках, когда там начинают общаться люди ^_^?",1,интересно а почему ставить в свой топика когда там начинать общаться человек 
"@Kind_GooDMaN да не, я лучше тихо буду пялиться на них:D",1,да не я хороший тихо быть пялиться на они 
"RT @Kerillka: Такое ощущение, что я очень стар)))
Ох, как это было давно. 
@Kaspersky_ru http://t.co/zbdmgRfrnI",1,такой ощущение что я очень старый ох как это быть давно 
"Юля знает куда мы соберемся поехать ,когда ей стукнет 18))",1,юля знать куда мы собраться поехать когда она стукнуть 
@UncleNick70 Жаль что только в 2180 году.....снова опоздаем..))),1,жаль что только в год снова опоздать 
"я попиздил патихардит ухахах хз во сколько вернусь,надеюсь в час)
всем удачного времяпровождения:3",1,я попиздить патихардит ухахи хз в сколько вернуться надеяться в час весь удачный времяпровождение 
"Теперь я знаю страшную тайну, зачем у монитора ножка имеет круглую основу) http://t.co/9wK8HsjUFS",1,теперь я знать страшный тайна зачем у монитор ножка иметь круглый основа 
RT @Landi_love1D: @Grace_Bradberry Ааа точно))  спасибо!:*,1,ааа точно спасибо 
"@upsguest  Да да, так всё и будет. Кто где вечером.))",1,да да так весь и быть кто где вечером 
@Kate_RinKv Они там уже год) Но недавно в версии для ПК они по-другому показываться стали.,1,они там уже год но недавно в версия для пк они по другой показываться стать 
@AndersonAndreev Влюбляешься автоматически?) Классные слова),1,влюбляться автоматически классный слово 
"@Vikysha3 очень !!!
Но все говорят, что не очень /
Можно на нг придти )",1,очень но весь говорят что не очень можно на нг прийти 
"@cocjap значит тебя не интересует то, что люди, читающие тебя тоже смотрят этот сериал и им не очень-то приятно читать спойлеры?)",1,значит ты не интересовать то что человек читать ты тоже смотреть этот сериал и имя не очень то приятно читать спойлер 
"@M_Morozova почему?) мы с медалью, походу, тьфу-тьфу)",1,почему мы с медаль поход тьфу тьфу 
alexfilmfreak как и обещал :-) Действительно какие времена были :-) http://t.co/VOaMX7JTEe,1,как и обещать действительно какой время быть 
"Вот как #google любит зиму, сам эффекты добавил)) GIF: http://t.co/seK4NQF5tr",1,вот как любить зима сам эффект добавить 
"@Narowin придет тебе перевод на 50 рублей и нужно будет заплатить комиссию 43,90 для его получения :o)",1,прийти ты перевод на рубль и нужно быть заплатить комиссия для он получение 
всем добра и сгущёнки — Спасибо ^_^ http://t.co/G072Azt4eN,1,весь добро и сгущёнка спасибо 
"Ура!)) Первая победа на выезде в этом сезоне!! Наконец-то!! Жаль, что не в основное время, но хоть так!!)",1,ура один победа на выезд в это сезон наконец то жаль что не в основный время но хоть так 
"RT @jidopomuburi: взял вот такой комплект   у нее приемник чудный, да) Теперь у меня все беспроводное и на батарейках)",1,взять вот такой комплект у нея приёмник чудный да теперь у я весь беспроводный и на батарейка 
"Прекрасное утро:проснулась. полчаса назад ,а за окном снежоок)",1,прекрасный утро проснуться полчаса назад а за окно снежоокий 
@WWWNNRU Подстраиваетесь под чью-то или есть своя? )),1,подстраиваться под чей то или есть свой 
"@Kiilmeplease Валяй:D Панд гони:D У меня тожи панды есть, давай ссылку на вк, покидаю:D",1,валять панда гнать у я тожить панда есть давать ссылка на вк покидать 
"Во всём саду воспитатели говорят, что такое происходит только у меня в группе)) http://t.co/imj4PereHz",1,в весь сад воспитатель говорят что такой происходить только у я в группа 
"Проходят мимо две девушки, а я как крикну как третью зовут)))))",1,проходить мимо два девушка а я как крикнуть как три звать 
"@adomogarov Сегодня ""держу кулачки"" за Хайда!!! Желаю Вам взорвать спокойствие Питерской публики :)) http://t.co/7101AKDTby",1,сегодня дерзить кулачка за хайд желать вы взорвать спокойствие питерский публика 
"""@One_ENCLAVE: @maybe_reg49_27 @lisi_Ca @LyudaLa волчара позорная)))"" но но но!",1,волчар позорный но но но 
А вот и первая гостевая победа Динамо вместе с Любомиром Поковичем! Хауген - красавец))),1,а вот и один гостевой победа динамо вместе с любомир поко хауген красавец 
"@9101jungfever ихихи с: 
много еще экзаменов осталось?)",1,ихиха с много ещё экзамен остаться 
Вот и закончилась рабочая неделя! Как отпраздновать ее весело?) http://t.co/gdBK5Q3ScZ #fact #ireland #odessa http://t.co/DFDTp4Ih82,1,вот и закончиться рабочий неделя как отпраздновать она весело 
"@graff25 это без сомнений,но будильники реально работают раз через раз)пора на WP переходить)",1,это без сомнение но будильник реально работать раз через раз пора на переходить 
"RT @Anna__Filatova: От новости про Виталика мы были в шоке:D
Теперь я точно поняла,что я-лох",1,от новость про виталик мы быть в шок теперь я точно понять что я лох 
"Вся в ожидании Оксана 
Упала голой на кровать 
И обалдели от такого 
И муж и мебельный салон )))",1,весь в ожидание оксана упасть голый на кровать и обалдеть от такой и муж и мебельный салон 
"как же это ахуенно спать до 12ти!
не сложилось на ПОДП дойти)",1,как же это ахуенно спать до ти не сложиться на подпункт дойти 
"уезжаю .
Регина , все будет хорошо 
уже лечу , кароч :D",1,уезжать регин весь быть хорошо уже лететь карочий 
Джефф красавчик :) спасибо @Darina_Strok за онлайн трансляцию) Всех с победой!!),1,джефф красавчик спасибо за онлайн трансляция весь с победа 
"RT @masha_sl: Завтра в 33 гимназии новогодняя ярмарка !:)
Начало в 10:00 ,приходите;-)",1,завтра в гимназия новогодний ярмарка начать в приходить 
"Я не знаю, но они были уже здесь задолго нашего появления. /)__) #follow",1,я не знать но они быть уже здесь задолго наш появление 
@sailortushkan боюсь пересказывать это было бы сложнее),1,бояться пересказывать это быть бы сложный 
"@chippcheg у меня вообще такая тема, что с любой стороны можно меня пнуть =)",1,у я вообще такой тема что с люба сторона можно я пнуть 
"Наконец-то на Новый Год мы увидим снег, а не слякоть! ))",1,наконец то на новый год мы увидеть снег а не слякоть 
"Если написать слово ""ВАТМАН"", то 95% людей прочитают его как ""Бэтмэн"")",1,если написать слово ватман то человек прочитать он как бэтмэн 
"RT @ollivercom: кому надо повангавать какие у вас трусы, обращаетесь к моему папе, то есть к дурьману :-)",1,кома надо повангавать какой у вы трус обращаться к мой папа то есть к дурьмана 
"АХАХАХАХАХААХАХАХАХХАХААХХААХХАХАХААХХАХАХАХАХАХАЗПЗМХАХАЗПЗААХМЗАЗХАПЗАХ Я ОРИГИНАЛЕЕЕЕЕЕЕЕЕЕН,АЗПЗЩААЗЗПАХХААХА :D",1,ахахахахахаахахахаххахааххааххахахааххахахахахахазпзмхахазпзаахмзазхапз я оригиналееееееееейный азпзщааззпаххаах 
"Ура переписывать будем в пн,значит можно подежурить :)",1,ура переписывать быть в пн значит можно подежурить 
"Афигенно всё начиналось!Первые:смс-ки,цветы,мишки,поцелууи*)А сейчас сидишь и понимаешь.больше этого не будет!Да и не надо.будет ещё лучше*)",1,афигенный весь начинаться один смс ки цвета мишка поцелууя а сейчас сидеть и понимать большой это не быть да и не надо быть ещё хороший 
RT @Sultanore: Объявление века )))) http://t.co/I9VNiulLfl,1,объявление век 
Вот чем я пахну после ванны)#запахсчастья http://t.co/9McjwrtwLa,1,вот чем я пахнуть после ванна запахсчастие 
Лит-ра с русским тоже была збс:D смеялись над всякой фигней ахаха,1,лита ра с русский тоже быть збс смеяться над всякая фигня ахах 
RT @MishaKrupin: Доброе утро) дэласол и редман уууу http://t.co/EmAyTmtD7J,1,добрый утро дэласол и редман уууа 
"Разговариваю с техподдержкой Зенона. Остро вспомнился ""WEBSITE IS DOWN!"" :D",1,разговаривать с техподдержка зенон остро вспомниться 
"RT @infernal_orange: @CTAKAH_C_BVB пиздец хорошо = пизошо, запомни :D",1,пиздец хорошо пизошо запомнить 
"Мы с удовольствием будем смотреть донецкий ""ШАХТËР"" и не в ТС ;-) 
Павлик:)",1,мы с удовольствие быть смотреть донецкий шахта р и не в тс павлик 
"Мне сегодня приснилась песня, я ее не знаю и помню только одну строчку: ""он был отлитым пиратом"")) к чему бы это..",1,я сегодня присниться песня я она не знать и помнить только один строчка он быть отлить пират к что бы это 
@Irreeena у нас учительница болела) не успели пройти программу),1,у мы учительница болеть не успеть пройти программа 
RT @strelec6120: охуенно замутил) http://t.co/CpkY51AR34,1,охуенно замутить 
@dima_ryzhov сам придумал или опять сборник анекдотов прячешь где-то? )))),1,сам придумать или опять сборник анекдот прятать где то 
Только сейчас с трени пришла......на улице наступила настоящая зима.Красотень то какая:*,1,только сейчас с трени пришлый на улица наступить настоящий зима красотень то какой 
